# Name ! Defined ! Default value
HOME!yes!__WORKDIR__
LANG!no!
LC_ALL!no!
LC_COLLATE!no!
LC_CTYPE!no!
LC_MESSAGES!no!
LC_MONETARY!no!
LC_NUMERIC!no!
LC_TIME!no!
TZ!no!
